e,conjunção,i
e·di·to·ri·a,"nome feminino",e.dʒi.to.ɾˈi.jə
e·di·to·ri·al,adjetivo,e.dʒi.to.ɾjˈaw
e·di·to·ri·al,"nome feminino",e.dʒi.to.ɾjˈaw
e·di·to·ri·al,"nome masculino",e.dʒi.to.ɾjˈaw
e·di·to·ri·a·lis·ta,"nome masculino",e.dʒi.to.ɾja.lˈis.tə
e·di·to·ri·a·lis·ta,"nome feminino",e.dʒi.to.ɾja.lˈis.tə
e·di·to·ri·al·men·te,advérbio,e.dʒi.to.ɾjaw.mˈẽj.tʃi
e·dre·dão,"nome masculino",e.dɾe.dˈə̃w
e·du·ca·bi·li·da·de,"nome feminino",e.du.ka.bi.li.dˈa.dʒi
e·du·ca·ção,"nome feminino",e.du.ka.sˈə̃w
e·du·ca·ci·o·nal,adjetivo,e.du.ka.si.o.nˈaw
e·du·ca·da·men·te,advérbio,e.du.ka.da.mˈẽj.tʃi
e·du·ca·do,adjetivo,e.du.kˈa.dʊ
e·du·ca·dor,adjetivo,e.du.ka.dˈoɾ
e·du·ca·dor,"nome masculino",e.du.ka.dˈoɾ
e·du·ca·do·ra,"nome feminino",e.du.ka.dˈo.ɾə
e·du·can·do,"nome masculino",e.du.kˈə̃.dʊ
e·du·ção,"nome feminino",e.du.sˈə̃w
e·du·car,verbo,e.du.kˈa
e·du·ca·ti·va·men·te,advérbio,e.du.ka.tʃi.va.mˈẽj.tʃi
e·du·ca·ti·vo,adjetivo,e.du.ka.tʃˈi.vʊ
e·du·cá·vel,adjetivo,e.du.kˈa.vew
e·dul·co·ra·do,adjetivo,e.duw.ko.ɾˈa.dʊ
e·dul·co·ran·te,adjetivo,e.duw.ko.ɾˈə̃.tʃi
e·dul·co·ran·te,"nome masculino",e.duw.ko.ɾˈə̃.tʃi
e·dul·co·rar,verbo,e.duw.ko.ɾˈa
e·fa·bu·la·ção,"nome feminino",e.fa.bu.la.sˈə̃w
e·fa·bu·lar,verbo,e.fa.bu.lˈa
e·fe,"nome masculino",ˈɛ.fi
e·fe·bo,"nome masculino",e.fˈe.bʊ
e·fe·dri·na,"nome feminino",e.fe.dɾˈi.nə
e·fei·to,"nome masculino",e.fˈej.tʊ
e·fé·me·ra,"nome feminino",e.fˈɛ.me.ɾə
e·fe·me·ri·da·de,"nome feminino",e.fe.me.ɾi.dˈa.dʒi
e·fe·mé·ri·de,"nome feminino",e.fe.mˈɛ.ɾi.dʒi
e·fé·me·ro,adjetivo,e.fˈɛ.me.ɾʊ
e·fé·me·ro,"nome masculino",e.fˈɛ.me.ɾʊ
e·fe·mi·na·da·men·te,advérbio,e.fe.mi.na.da.mˈẽj.tʃi
e·fe·mi·na·do,adjetivo,e.fe.mi.nˈa.dʊ
e·fe·mi·na·do,"nome masculino",e.fe.mi.nˈa.dʊ
e·fe·mi·nar,verbo,e.fe.mi.nˈa
"e·fer·ves·cên·ci· a","nome feminino",e.feɾ.ve.sˈẽj.sjə
e·fer·ves·cen·te,adjetivo,e.feɾ.ve.sˈẽj.tʃi
"e·fé·si· o",adjetivo,e.fˈɛ.zju
"e·fé·si· o","nome masculino",e.fˈɛ.zju
e·fe·ti·va·ção,"nome feminino",e.fe.tʃi.va.sˈə̃w
e·fe·ti·va·men·te,advérbio,e.fe.tʃi.va.mˈẽj.tʃi
e·fe·ti·var,verbo,e.fe.tʃi.vˈa
e·fe·ti·vi·da·de,"nome feminino",e.fe.tʃi.vi.dˈa.dʒi
e·fe·ti·vo,adjetivo,e.fe.tʃˈi.vʊ
e·fe·ti·vo,"nome masculino",e.fe.tʃˈi.vʊ
e·fe·tu·a·ção,"nome feminino",e.fe.twa.sˈə̃w
e·fe·tu·ar,verbo,e.fe.twˈa
"e·fi·cá·ci· a","nome feminino",e.fi.kˈa.sjə
e·fi·caz,adjetivo,e.fi.kˈas
e·fi·caz·men·te,advérbio,e.fi.kaz.mˈẽj.tʃi
"e·fi·ci·ên·ci· a","nome feminino",e.fi.si.ˈẽj.sjə
e·fi·ci·en·te,adjetivo,e.fi.si.ˈẽj.tʃi
e·fi·ci·en·te·men·te,advérbio,e.fi.si.ẽ.te.mˈẽj.tʃi
"e·fí·gi· e","nome feminino",e.fˈi.ʒi
e·flu·en·te,"nome masculino",e.flwˈẽj.tʃi
e·flu·en·te,adjetivo,e.flwˈẽj.tʃi
"e·flú·vi· o","nome masculino",e.flˈu.vjʊ
e·frac·ção,"nome feminino",e.fɾa.kə.sˈə̃w
e·fu·são,"nome feminino",e.fu.zˈə̃w
e·fu·si·va·men·te,advérbio,e.fu.zi.va.mˈẽj.tʃi
e·fu·si·vi·da·de,"nome feminino",e.fu.zi.vi.dˈa.dʒi
e·fu·si·vo,adjetivo,e.fu.zˈi.vʊ
e·geu,adjetivo,e.ʒˈew
e·geu,"nome masculino",e.ʒˈew
é·gi·de,"nome feminino",ˈɛ.ʒi.dʒi
"e·gíp·ci· a","nome feminino",e.ʒˈi.pi.sjə
"e·gíp·ci· o",adjetivo,e.ʒˈi.pi.sjʊ
"e·gíp·ci· o","nome masculino",e.ʒˈi.pi.sjʊ
e·gip·to·lo·gi·a,"nome feminino",e.ʒi.pə.to.lo.ʒˈi.jə
e·gip·tó·lo·go,"nome masculino",e.ʒi.pə.tˈɔ.lo.gʊ
e·gi·ta·ni·en·se,"nome masculino","e.ʒi.ta.ni.ˈẽj.si ou e.ʒi.ta.ni.ˈẽj.si"
e·gi·ta·ni·en·se,adjetivo,e.ʒi.ta.ni.ˈẽj.si
e·go,"nome masculino",ˈɛ.gʊ
e·go·cên·tri·ca,"nome feminino",e.go.sˈẽj.tɾi.kə
e·go·cen·tri·ca·men·te,advérbio,e.go.sẽ.tɾi.ka.mˈẽj.tʃi
e·go·cên·tri·co,adjetivo,e.go.sˈẽj.tɾi.kʊ
e·go·cên·tri·co,"nome masculino",e.go.sˈẽj.tɾi.kʊ
e·go·cen·tris·mo,"nome masculino",e.go.sẽ.tɾˈiz.mʊ
e·go·cen·tris·ta,adjetivo,e.go.sẽ.tɾˈis.tə
e·go·cen·tris·ta,"nome masculino","e.go.sẽ.tɾˈis.tə ou e.go.sẽ.tɾˈis.tə"
e·go·ís·mo,"nome masculino",e.gwˈiz.mʊ
e·go·ís·ta,adjetivo,e.gwˈis.tə
e·go·ís·ta,"nome masculino",e.gwˈis.tə
e·go·ís·ta,"nome feminino",e.gwˈis.tə
e·go·la·tri·a,"nome feminino",e.go.la.tɾˈi.jə
e·go·tis·mo,"nome masculino",e.go.tʃˈiz.mʊ
e·gre·gi·a·men·te,advérbio,e.gɾe.ʒja.mˈẽj.tʃi
"e·gré·gi· o",adjetivo,e.gɾˈe.ʒjʊ
e·gres·so,adjetivo,e.gɾˈɛ.sʊ
e·gres·so,"nome masculino",e.gɾˈɛ.sʊ
é·gua,"nome feminino",ˈɛ.gwə
eh,interjeição,ˈɛ
ei·a,interjeição,ˈej.jə
ei·do,"nome masculino",ˈej.dʊ
ei·ra,"nome feminino",ˈej.ɾə
ei·ra·do,"nome masculino",ej.ɾˈa.dʊ
ei·ra·do,adjetivo,ej.ɾˈa.dʊ
ei·ró,"nome feminino",ej.ɾˈɔ
ei·ró,"nome masculino",ej.ɾˈɔ
eis,advérbio,ˈejs
ei·to,"nome masculino",ˈej.tʊ
ei·va·do,adjetivo,ej.vˈa.dʊ
ei·var,verbo,ej.vˈa
ei·xar,verbo,ej.ʃˈa
ei·xo,"nome masculino",ˈej.ʃʊ
e·ja·cu·la·ção,"nome feminino",e.ʒa.ku.la.sˈə̃w
e·ja·cu·lar,verbo,e.ʒa.ku.lˈa
e·jec·ção,"nome feminino",e.ʒe.kə.sˈə̃w
e·jec·tá·vel,adjetivo,e.ʒe.kə.tˈa.vew
e·je·tar,verbo,e.ʒe.tˈa
el,artigo,ˈɛw
el-rei,"nome masculino",ɛw.xˈej
e·lã,"nome masculino",e.lˈə̃
e·la·bo·ra·ção,"nome feminino",e.la.bo.ɾa.sˈə̃w
e·la·bo·ra·do,adjetivo,e.la.bo.ɾˈa.dʊ
e·la·bo·ra·dor,adjetivo,e.la.bo.ɾa.dˈoɾ
e·la·bo·ra·dor,"nome masculino",e.la.bo.ɾa.dˈoɾ
e·la·bo·rar,verbo,e.la.bo.ɾˈa
e·la·ção,"nome feminino",e.la.sˈə̃w
"é· lan","nome masculino",ɛ.lˈə̃
e·lar,verbo,e.lˈa
"e·las·mo·brân·qui· o","nome masculino",e.laz.mo.bɾˈə̃.kjʊ
e·las·ti·ca·men·te,advérbio,e.las.tʃi.ka.mˈẽj.tʃi
e·las·ti·ci·da·de,"nome feminino",e.las.tʃi.si.dˈa.dʒi
e·lás·ti·co,adjetivo,e.lˈas.tʃi.kʊ
e·lás·ti·co,"nome masculino",e.lˈas.tʃi.kʊ
e·las·to·di·nâ·mi·ca,"nome feminino",e.las.to.dʒi.nˈə.mi.kə
e·las·tó·me·ro,adjetivo,e.las.tˈɔ.me.ɾʊ
e·las·tó·me·ro,"nome masculino",e.las.tˈɔ.me.ɾʊ
"e·las·tor·re·sis·tên·ci· a","nome feminino",e.las.to.xe.zis.tˈẽj.sjə
el·do·ra·do,"nome masculino",ew.do.ɾˈa.dʊ
e·le,pronome,ˈe.li
e·le,"nome masculino",ˈɛ.li
e·lec·trão,"nome masculino",e.lek.tɾˈə̃w
e·lec·trão-volt,"nome masculino",e.lek.tɾˌə̃w.vˈolt
e·lec·tri·ca·men·te,advérbio,e.lɛk.tɾi.ka.mˈẽj.tʃi
e·léc·tri·co,adjetivo,e.lˈɛk.tɾi.kʊ
e·lec·tri·fi·ca·ção,"nome feminino",e.lek.tɾi.fi.ka.sˈə̃w
e·lec·tri·fi·car,verbo,e.lek.tɾi.fi.kˈa
e·lec·tri·za·ção,"nome feminino",e.lek.tɾi.za.sˈə̃w
e·lec·tri·zan·te,adjetivo,e.lek.tɾi.zˈə̃.tʃi
e·lec·tri·zar,verbo,e.lek.tɾi.zˈa
e·lec·tro,"nome masculino",e.lˈek.tɾʊ
e·lec·tro·bom·ba,"nome feminino",e.lek.tɾo.bˈõ.bə
e·lec·tro·car·di·o·gra·fi·a,"nome feminino",e.lek.tɾo.kaɾ.dʒi.o.gɾa.fˈi.jə
e·lec·tro·car·di·ó·gra·fo,"nome masculino",e.lek.tɾo.kaɾ.dʒi.ˈɔ.gɾa.fʊ
e·lec·tro·car·di·o·gra·ma,"nome masculino",e.lek.tɾo.kaɾ.dʒi.o.gɾˈə.mə
e·lec·tro·cho·que,"nome masculino",e.lek.tɾo.ʃˈɔ.ki
e·lec·tro·cus·são,"nome feminino",e.lek.tɾo.ku.sˈə̃w
e·lec·tro·cu·ta·do,adjetivo,e.lek.tɾo.ku.tˈa.dʊ
e·lec·tro·cu·tar,verbo,e.lek.tɾo.ku.tˈa
e·lec·tro·di·nâ·mi·ca,"nome feminino",e.lek.tɾo.dʒi.nˈə.mi.kə
e·lec·tro·di·nâ·mi·co,adjetivo,e.lek.tɾo.dʒi.nˈə.mi.kʊ
e·léc·tro·do,"nome masculino",e.lˈɛk.tɾo.dʊ
e·lec·tro·do·més·ti·co,adjetivo,e.lek.tɾo.do.mˈɛs.tʃi.kʊ
e·lec·tro·do·més·ti·co,"nome masculino",e.lek.tɾo.do.mˈɛs.tʃi.kʊ
e·lec·tro·en·ce·fa·lo·gra·fi·a,"nome feminino",e.lek.tɾo.ẽ.se.fa.lo.gɾa.fˈi.jə
e·lec·tro·en·ce·fa·lo·gra·ma,"nome masculino",e.lek.tɾo.ẽ.se.fa.lo.gɾˈə.mə
e·lec·tro·fi·si·o·lo·gi·a,"nome feminino",e.lek.tɾo.fi.zi.o.lo.ʒˈi.jə
e·lec·tro·fo·to·grá·fi·co,adjetivo,e.lek.tɾo.fo.to.gɾˈa.fi.kʊ
e·lec·tro·gra·fi·a,"nome feminino",e.lek.tɾo.gɾa.fˈi.jə
e·lec·tró·li·se,"nome feminino",e.lek.tɾˈɔ.li.zi
e·lec·tro·lí·ti·co,adjetivo,e.lek.tɾo.lˈi.tʃi.kʊ
e·lec·tró·li·to,"nome masculino",e.lek.tɾˈɔ.li.tʊ
e·lec·tro·mag·né·ti·co,adjetivo,e.lek.tɾo.ma.gi.nˈɛ.tʃi.kʊ
e·lec·tro·mag·ne·tis·mo,"nome masculino",e.lek.tɾo.ma.gi.ne.tʃˈiz.mʊ
e·lec·tro·me·câ·ni·ca,"nome feminino",e.lek.tɾo.me.kˈə.ni.kə
e·lec·tro·me·câ·ni·co,adjetivo,e.lek.tɾo.me.kˈə.ni.kʊ
e·lec·tro·me·câ·ni·co,"nome masculino",e.lek.tɾo.me.kˈə.ni.kʊ
e·lec·tro·mo·triz,adjetivo,e.lek.tɾo.mo.tɾˈis
e·lec·tro·quí·mi·ca,"nome feminino",e.lek.tɾo.kˈi.mi.kə
e·lec·tro·quí·mi·co,adjetivo,e.lek.tɾo.kˈi.mi.kʊ
e·lec·tros·tá·ti·ca,"nome feminino",e.lek.tɾos.tˈa.tʃi.kə
e·lec·tros·tá·ti·co,adjetivo,e.lek.tɾos.tˈa.tʃi.kʊ
e·lec·tro·tec·ni·a,"nome feminino",e.lek.tɾo.tɛ.ki.nˈi.jə
e·lec·tro·téc·ni·ca,"nome feminino",e.lek.tɾo.tˈɛ.ki.ni.kə
e·lec·tro·téc·ni·co,"nome masculino",e.lek.tɾo.tˈɛ.ki.ni.kʊ
e·lec·tro·téc·ni·co,adjetivo,e.lek.tɾo.tˈɛ.ki.ni.kʊ
e·le·fan·ta,"nome feminino",e.le.fˈə̃.tə
e·le·fan·te,"nome masculino",e.le.fˈə̃.tʃi
e·le·fan·tí·a·se,"nome feminino",e.le.fə̃.tʃˈi.a.zi
e·le·fan·ti·no,adjetivo,e.le.fə̃.tʃˈi.nʊ
"e·le·gân·ci· a","nome feminino",e.le.gˈə̃.sjə
e·le·gan·te,"nome masculino",e.le.gˈə̃.tʃi
e·le·gan·te,adjetivo,e.le.gˈə̃.tʃi
e·le·gan·te,"nome feminino",e.le.gˈə̃.tʃi
e·le·gan·te·men·te,advérbio,e.le.gə̃.te.mˈẽj.tʃi
e·le·gen·do,"nome masculino",e.le.ʒˈẽj.dʊ
e·le·ger,verbo,e.le.ʒˈe
e·le·gi·a,"nome feminino",e.le.ʒˈi.jə
e·le·gí·a·ca,"nome feminino",e.le.ʒˈi.a.kə
e·le·gí·a·co,adjetivo,e.le.ʒˈi.a.kʊ
e·le·gí·a·co,"nome masculino",e.le.ʒˈi.a.kʊ
e·le·gi·bi·li·da·de,"nome feminino",e.le.ʒi.bi.li.dˈa.dʒi
e·le·gí·vel,adjetivo,e.le.ʒˈi.vew
e·lei·ção,"nome feminino",e.lej.sˈə̃w
e·lei·ço·ei·ra,"nome feminino",e.lej.swˈej.ɾə
e·lei·ço·ei·ro,"nome masculino",e.lej.swˈej.ɾʊ
e·lei·ço·ei·ro,adjetivo,e.lej.swˈej.ɾʊ
e·lei·ta,"nome feminino",e.lˈej.tə
e·lei·to,adjetivo,e.lˈej.tʊ
e·lei·to,"nome masculino",e.lˈej.tʊ
e·lei·tor,"nome masculino",e.lej.tˈoɾ
e·lei·to·ra·do,"nome masculino",e.lej.to.ɾˈa.dʊ
e·lei·to·ral,adjetivo,e.lej.to.ɾˈaw
e·lei·to·ra·lis·mo,"nome masculino",e.lej.to.ɾa.lˈiz.mʊ
e·lei·to·ra·lis·ta,adjetivo,e.lej.to.ɾa.lˈis.tə
e·lei·to·ra·lis·ta,"nome masculino","e.lej.to.ɾa.lˈis.tə ou e.lej.to.ɾa.lˈis.tə"
e·lei·to·ral·men·te,advérbio,e.lej.to.ɾaw.mˈẽj.tʃi
e·le·men·tar,adjetivo,e.le.mẽ.tˈaɾ
e·le·men·ta·ri·da·de,"nome feminino",e.le.mẽ.ta.ɾi.dˈa.dʒi
e·le·men·tar·men·te,advérbio,e.le.mẽ.taɾ.mˈẽj.tʃi
e·le·men·to,"nome masculino",e.le.mˈẽj.tʊ
e·len·car,verbo,e.lẽ.kˈa
e·len·co,"nome masculino",e.lˈẽj.kʊ
e·le·ti·va·men·te,advérbio,e.le.tʃi.va.mˈẽj.tʃi
e·le·ti·vo,adjetivo,e.le.tʃˈi.vʊ
e·le·tri·ca·men·te,advérbio,e.lɛ.tɾi.ka.mˈẽj.tʃi
e·le·tri·ci·da·de,"nome feminino","e.le.tɾi.si.dˈa.dʒi ou e.le.tɾi.si.dˈa.dʒi"
e·le·tri·cis·ta,adjetivo,e.le.tɾi.sˈis.tə
e·le·tri·cis·ta,"nome masculino",e.le.tɾi.sˈis.tə
e·le·tri·cis·ta,"nome feminino",e.le.tɾi.sˈis.tə
e·lé·tri·co,adjetivo,"e.lˈɛ.tɾi.kʊ ou e.lˈɛ.tɾi.kʊ"
e·lé·tri·co,"nome masculino","e.lˈɛ.tɾi.kʊ ou e.lˈɛ.tɾi.kʊ"
e·le·tro-hi·gró·me·tro,adjetivo,e.le.tɾo.i.gɾˈɔ.me.tɾʊ
e·le·tro·a·cús·ti·co,adjetivo,e.le.tɾo.a.kˈus.tʃi.kʊ
e·le·tro·ba·lís·ti·ca,"nome feminino",e.le.tɾo.ba.lˈis.tʃi.kə
e·le·tro·bi·o·lo·gi·a,"nome feminino",e.le.tɾo.bi.o.lo.ʒˈi.jə
e·le·tro·bi·o·ló·gi·co,adjetivo,e.le.tɾo.bi.o.lˈɔ.ʒi.kʊ
e·le·tro·bom·ba,"nome feminino",e.le.tɾo.bˈõ.bə
e·le·tro·cho·que,"nome masculino",e.le.tɾo.ʃˈɔ.ki
e·le·tro·ci·né·ti·ca,"nome feminino",e.le.tɾo.si.nˈɛ.tʃi.kə
e·le·tro·ci·né·ti·co,adjetivo,e.le.tɾo.si.nˈɛ.tʃi.kʊ
e·le·tro·ci·rur·gi·a,"nome feminino",e.le.tɾo.si.ɾuɾ.ʒˈi.jə
